id,category,question,answer,explanation,image_url
1,rhetoric,枕詞「あしひきの」がかかる語は？,山,「あしひきの」は「山」にかかる枕詞。「あしひきの山鳥の尾のしだり尾の」など多くの和歌に使われる。,
2,rhetoric,枕詞「たらちねの」がかかる語は？,母,「たらちねの」は「母」にかかる枕詞。「たらちねの母の命は」のように用いる。,
3,rhetoric,枕詞「ちはやぶる」がかかる語は？,神,「ちはやぶる」は「神」にかかる枕詞で「荒々しい・威勢がよい」という意を持つ。,
4,rhetoric,枕詞「ぬばたまの」がかかる語の種類は？,夜・黒・髪など暗さに関係する語,「ぬばたまの」はヒオウギの黒い実に由来し、「夜」「黒」「髪」「闇」など黒や暗さに関係する語にかかる枕詞。,
5,rhetoric,枕詞「あをによし」がかかる語は？,奈良,「あをによし奈良の都は咲く花の…」（小野老）のように用いられる。奈良産の青丹（顔料）に由来するとされる。,
6,rhetoric,小野小町「花の色はうつりにけりな…ながめせしまに」の「ながめ」の掛詞は？,眺め（物思い）と長雨,「ながめ」は「眺め（物思いにふけること）」と「長雨（春の長雨）」の掛詞。春の長雨の間に物思いにふけっているうちに花が散ったという意。,
7,rhetoric,掛詞（かけことば）とは何か？,同音異義を利用して一語に二つ以上の意味を持たせる技法,「松（待つ）」「秋（飽き）」のように同音異義語を利用した技法。和歌の重層的な意味を生む。,
8,rhetoric,序詞（じょことば）とは何か？,5音節以上の長めの前置きで、あとの語句を導く比喩・象徴的表現,枕詞より長く、あとに続く語や句を導くための前置き部分。内容的にも関わり比喩・象徴として機能する。,
9,rhetoric,縁語（えんご）とは何か？,一首の中に意味的に関連する語群を複数配置する技法,例えば「弓・矢・射る・的」など関連語を意図的に配置する。掛詞と組み合わせて用いられることも多い。,
10,rhetoric,本歌取り（ほんかどり）とは何か？,先人の有名な和歌の語句・表現を取り入れ新たな意味を創り出す技法,新古今時代に特に盛んで、藤原定家が多用した。読者が本歌を知っていることで重層的な意味が生まれる。,
11,rank,正一位の次に高い位階は？,従一位,官位は「正（しょう）・従（じゅ）」の2つに分かれ、それぞれ一位〜八位まであった。,
12,rank,清涼殿の殿上の間への昇殿を許された四位・五位の貴族の総称は？,殿上人（てんじょうびと）,三位以上は公卿（上達部）。六位以下は地下（じげ）と呼ばれ殿上を許されない。,
13,rank,公卿（くぎょう）と呼ばれるための条件は？,三位以上、または参議に任じられた四位,現代でも「公卿」「上達部（かんだちめ）」と呼ぶ。源氏物語でも重要な概念。,
14,rank,受領（ずりょう）とは何か？,実際に任国に赴任した国司の最上席者,「受領は倒るる所に土をも掴め」という俗語があるほど財を蓄えた富裕な中流貴族。,
15,rank,蔵人頭（くろうどのとう）とは何か？,蔵人所の最高職。天皇の秘書的役割を担い、公卿への登竜門とされた,四位・五位の優秀な中流貴族が任じられた。源氏物語の頭中将もこの地位。,
16,rank,摂政と関白の違いは？,摂政は幼帝・女帝のとき代わりに政務を行う。関白は成人天皇を補佐する,どちらも藤原氏が独占した。摂政・関白が置かれた政治体制を「摂関政治」という。,
17,rank,源氏物語で光源氏が最終的に到達した地位は？,准太上天皇（じゅんだいじょうてんのう）,実際の官職ではなく名誉的地位。紫式部が源氏の卓越性を示すために用いた設定。,
18,rank,六位以下で殿上の間への昇殿を許されない貴族の総称は？,地下（じげ）,殿上人（四位・五位）や公卿（三位以上）と区別される平安貴族社会の身分区分。,
19,lit,枕草子の作者は？,清少納言,一条天皇の中宮・定子（ていし）に仕えた約10年間の体験を綴った随筆。「春はあけぼの」の書き出しで有名。,
20,lit,源氏物語の成立はいつ頃か？,平安時代中期（1000年前後）,紫式部の作。一条天皇の中宮・彰子（しょうし）に仕えた。現存最古の長編小説の一つとされる。,
21,lit,日本最古の和歌集は？,万葉集,奈良時代末期に成立。約4500首を収録。大伴家持が編纂に関わったとされる。天皇から庶民まで幅広い層の歌を収める。,
22,lit,古今和歌集の成立年と主な撰者は？,905年頃・紀貫之ら4人,醍醐天皇の勅命で成立した最初の勅撰和歌集。紀友則・凡河内躬恒・壬生忠岑の計4人が撰者。仮名序は紀貫之が記した。,
23,lit,更級日記の作者は？,菅原孝標女（すがわらのたかすえのむすめ）,東国（現千葉付近）から上京し、源氏物語に憧れ読み耽った少女時代から老境までを回想した日記文学。,
24,lit,新古今和歌集の成立年と美的理念は？,1205年・幽玄と余情,後鳥羽上皇の命で成立した第八勅撰集。藤原定家・藤原家隆らが撰者。本歌取りを多用した。,
25,lit,土佐日記の作者と特徴は？,紀貫之。男性が女性の仮名体裁で書いた最初の日記文学,934〜935年成立。土佐守の任期を終えた帰京の道中を記す。,
26,lit,伊勢物語の特徴は？,作者未詳。在原業平をモデルとする「昔男」の恋愛と旅を描いた歌物語,9〜10世紀頃成立。125段の短い章段で構成。和歌を中心に散文が付く形式。,
27,lit,方丈記の作者と成立年は？,鴨長明・1212年（鎌倉前期）,無常観と隠遁生活を記した随筆。「ゆく河の流れは絶えずして…」の書き出しで有名。,
28,lit,徒然草の作者と成立時代は？,吉田兼好（兼好法師）・鎌倉後期〜南北朝,244段から成る随筆。「つれづれなるままに…」の書き出しで有名。,
29,lit,平家物語の中心テーマは？,平氏の盛衰と諸行無常の仏教的世界観,「盛者必衰」の理を描く軍記物語。琵琶法師により語り継がれた。「祇園精舎の鐘の声」で始まる。,
